relevance_numeric	id	stance_numeric	stance_label	coder_id	relevance_label
2	aa_opeds_sample/txt/420557855.xml.txt	2	Somewhat against	60f657824394dac9902c821f	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/432267882.xml.txt	2	Somewhat against	60f657824394dac9902c821f	Affirmative action is mentioned, but is not the main subject
1	aa_opeds_sample/txt/430898745.xml.txt	4	Somewhat in favor	60f657824394dac9902c821f	Affirmative action is the main subject.
2	aa_opeds_sample/txt/408345486.xml.txt	5	Strongly in favor	60f657824394dac9902c821f	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/2833402706.xml.txt	5	Strongly in favor	60f657824394dac9902c821f	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/431248074.xml.txt	4	Somewhat in favor	60f657824394dac9902c821f	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/428907164.xml.txt	5	Strongly in favor	60f657824394dac9902c821f	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/215497350.xml.txt	2	Somewhat against	60f657824394dac9902c821f	Affirmative action is mentioned, but is not the main subject
1	test_question_testing_2	1	Strongly against	60f657824394dac9902c821f	Affirmative action is the main subject.
2	aa_opeds_sample/txt/432471477.xml.txt	3	Neutral, or not enough information	60f657824394dac9902c821f	Affirmative action is mentioned, but is not the main subject
1	aa_opeds_sample/txt/307867242.xml.txt	2	Somewhat against	60f657824394dac9902c821f	Affirmative action is the main subject.
2	aa_opeds_sample/txt/2700218837.xml.txt	3	Neutral, or not enough information	63daabbd0ca8de9fc5709d1d	Affirmative action is mentioned, but is not the main subject
1	test_question_testing_3	1	Strongly against	63daabbd0ca8de9fc5709d1d	Affirmative action is the main subject.
3	aa_opeds_sample/txt/419989695.xml.txt	3	Neutral, or not enough information	63daabbd0ca8de9fc5709d1d	Affirmative action is not mentioned.
2	aa_opeds_sample/txt/2831679997.xml.txt	3	Neutral, or not enough information	63daabbd0ca8de9fc5709d1d	Affirmative action is mentioned, but is not the main subject
1	aa_opeds_sample/txt/409060590.xml.txt	3	Neutral, or not enough information	63daabbd0ca8de9fc5709d1d	Affirmative action is the main subject.
1	aa_opeds_sample/txt/2154417607.xml.txt	2	Somewhat against	63daabbd0ca8de9fc5709d1d	Affirmative action is the main subject.
2	aa_opeds_sample/txt/409718670.xml.txt	3	Neutral, or not enough information	63daabbd0ca8de9fc5709d1d	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/421609713.xml.txt	3	Neutral, or not enough information	63daabbd0ca8de9fc5709d1d	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/2832640273.xml.txt	3	Neutral, or not enough information	63daabbd0ca8de9fc5709d1d	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/420733639.xml.txt	3	Neutral, or not enough information	63daabbd0ca8de9fc5709d1d	Affirmative action is mentioned, but is not the main subject
1	aa_opeds_sample/txt/2417314051.xml.txt	5	Strongly in favor	63daabbd0ca8de9fc5709d1d	Affirmative action is the main subject.
2	aa_opeds_sample/txt/420733639.xml.txt	3	Neutral, or not enough information	5eee84b62f2451148cb708b2	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/432876223.xml.txt	3	Neutral, or not enough information	5eee84b62f2451148cb708b2	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/408580425.xml.txt	4	Somewhat in favor	5eee84b62f2451148cb708b2	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/2831679997.xml.txt	5	Strongly in favor	5eee84b62f2451148cb708b2	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/409060590.xml.txt	3	Neutral, or not enough information	5eee84b62f2451148cb708b2	Affirmative action is mentioned, but is not the main subject
1	test_question_testing_1	1	Strongly against	5eee84b62f2451148cb708b2	Affirmative action is the main subject.
2	aa_opeds_sample/txt/409718670.xml.txt	3	Neutral, or not enough information	5eee84b62f2451148cb708b2	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/421609713.xml.txt	5	Strongly in favor	5eee84b62f2451148cb708b2	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/1023015447.xml.txt	3	Neutral, or not enough information	5eee84b62f2451148cb708b2	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/1011079659.xml.txt	4	Somewhat in favor	5eee84b62f2451148cb708b2	Affirmative action is mentioned, but is not the main subject
1	aa_opeds_sample/txt/2417314051.xml.txt	5	Strongly in favor	5eee84b62f2451148cb708b2	Affirmative action is the main subject.
1	aa_opeds_sample/txt/432405735.xml.txt	2	Somewhat against	6532afc996aad781b8ade182	Affirmative action is the main subject.
2	aa_opeds_sample/txt/421228265.xml.txt	1	Strongly against	6532afc996aad781b8ade182	Affirmative action is mentioned, but is not the main subject
1	aa_opeds_sample/txt/398730713.xml.txt	2	Somewhat against	6532afc996aad781b8ade182	Affirmative action is the main subject.
3	aa_opeds_sample/txt/424890519.xml.txt	3	Neutral, or not enough information	6532afc996aad781b8ade182	Affirmative action is not mentioned.
1	aa_opeds_sample/txt/2648708177.xml.txt	4	Somewhat in favor	6532afc996aad781b8ade182	Affirmative action is the main subject.
2	aa_opeds_sample/txt/2628908360.xml.txt	3	Neutral, or not enough information	6532afc996aad781b8ade182	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/2009409469.xml.txt	3	Neutral, or not enough information	6532afc996aad781b8ade182	Affirmative action is mentioned, but is not the main subject
1	test_question_testing_2	1	Strongly against	6532afc996aad781b8ade182	Affirmative action is the main subject.
2	aa_opeds_sample/txt/1519805309.xml.txt	2	Somewhat against	6532afc996aad781b8ade182	Affirmative action is mentioned, but is not the main subject
1	aa_opeds_sample/txt/2215402698.xml.txt	1	Strongly against	6532afc996aad781b8ade182	Affirmative action is the main subject.
2	aa_opeds_sample/txt/398441227.xml.txt	3	Neutral, or not enough information	6532afc996aad781b8ade182	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/399055159.xml.txt	2	Somewhat against	5f0d0bb334aaaf7151fee628	Affirmative action is mentioned, but is not the main subject
1	aa_opeds_sample/txt/430898745.xml.txt	5	Strongly in favor	5f0d0bb334aaaf7151fee628	Affirmative action is the main subject.
2	aa_opeds_sample/txt/421228265.xml.txt	2	Somewhat against	5f0d0bb334aaaf7151fee628	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/398321574.xml.txt	3	Neutral, or not enough information	5f0d0bb334aaaf7151fee628	Affirmative action is mentioned, but is not the main subject
1	aa_opeds_sample/txt/2452692303.xml.txt	5	Strongly in favor	5f0d0bb334aaaf7151fee628	Affirmative action is the main subject.
1	aa_opeds_sample/txt/430957877.xml.txt	5	Strongly in favor	5f0d0bb334aaaf7151fee628	Affirmative action is the main subject.
2	aa_opeds_sample/txt/230632738.xml.txt	2	Somewhat against	5f0d0bb334aaaf7151fee628	Affirmative action is mentioned, but is not the main subject
1	test_question_testing_2	1	Strongly against	5f0d0bb334aaaf7151fee628	Affirmative action is the main subject.
2	aa_opeds_sample/txt/398787032.xml.txt	4	Somewhat in favor	5f0d0bb334aaaf7151fee628	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/430810646.xml.txt	4	Somewhat in favor	5f0d0bb334aaaf7151fee628	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/398299761.xml.txt	4	Somewhat in favor	5f0d0bb334aaaf7151fee628	Affirmative action is mentioned, but is not the main subject
1	aa_opeds_sample/txt/293028806.xml.txt	2	Somewhat against	6532bba1883d90937d32c01a	Affirmative action is the main subject.
1	aa_opeds_sample/txt/418520188.xml.txt	5	Strongly in favor	6532bba1883d90937d32c01a	Affirmative action is the main subject.
3	aa_opeds_sample/txt/1652232593.xml.txt	3	Neutral, or not enough information	6532bba1883d90937d32c01a	Affirmative action is not mentioned.
1	aa_opeds_sample/txt/2530287535.xml.txt	4	Somewhat in favor	6532bba1883d90937d32c01a	Affirmative action is the main subject.
1	aa_opeds_sample/txt/398602003.xml.txt	2	Somewhat against	6532bba1883d90937d32c01a	Affirmative action is the main subject.
1	test_question_testing_2	1	Strongly against	6532bba1883d90937d32c01a	Affirmative action is the main subject.
2	aa_opeds_sample/txt/293063140.xml.txt	3	Neutral, or not enough information	6532bba1883d90937d32c01a	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/421303437.xml.txt	3	Neutral, or not enough information	6532bba1883d90937d32c01a	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/1823531226.xml.txt	3	Neutral, or not enough information	6532bba1883d90937d32c01a	Affirmative action is mentioned, but is not the main subject
1	aa_opeds_sample/txt/1799136984.xml.txt			6532bba1883d90937d32c01a	Affirmative action is the main subject.
1	aa_opeds_sample/txt/398469346.xml.txt	1	Strongly against	6532bba1883d90937d32c01a	Affirmative action is the main subject.
2	aa_opeds_sample/txt/408523809.xml.txt	3	Neutral, or not enough information	653177c02de58f0b5da387a9	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/420906077.xml.txt	3	Neutral, or not enough information	653177c02de58f0b5da387a9	Affirmative action is mentioned, but is not the main subject
1	aa_opeds_sample/txt/421647247.xml.txt	5	Strongly in favor	653177c02de58f0b5da387a9	Affirmative action is the main subject.
3	aa_opeds_sample/txt/1652232593.xml.txt	3	Neutral, or not enough information	653177c02de58f0b5da387a9	Affirmative action is not mentioned.
2	aa_opeds_sample/txt/2099964529.xml.txt	3	Neutral, or not enough information	653177c02de58f0b5da387a9	Affirmative action is mentioned, but is not the main subject
1	test_question_testing_1	1	Strongly against	653177c02de58f0b5da387a9	Affirmative action is the main subject.
1	aa_opeds_sample/txt/2216641847.xml.txt	5	Strongly in favor	653177c02de58f0b5da387a9	Affirmative action is the main subject.
1	aa_opeds_sample/txt/2215402698.xml.txt	2	Somewhat against	653177c02de58f0b5da387a9	Affirmative action is the main subject.
2	aa_opeds_sample/txt/293063140.xml.txt	4	Somewhat in favor	653177c02de58f0b5da387a9	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/2469478152.xml.txt	3	Neutral, or not enough information	653177c02de58f0b5da387a9	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/1750369183.xml.txt	4	Somewhat in favor	653177c02de58f0b5da387a9	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/1667204395.xml.txt	4	Somewhat in favor	6553a1d1ca63d5c0ea71a758	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/2419240626.xml.txt	2	Somewhat against	6553a1d1ca63d5c0ea71a758	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/408345486.xml.txt	4	Somewhat in favor	6553a1d1ca63d5c0ea71a758	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/293087956.xml.txt	5	Strongly in favor	6553a1d1ca63d5c0ea71a758	Affirmative action is mentioned, but is not the main subject
1	aa_opeds_sample/txt/430872205.xml.txt	5	Strongly in favor	6553a1d1ca63d5c0ea71a758	Affirmative action is the main subject.
1	aa_opeds_sample/txt/429909301.xml.txt	1	Strongly against	6553a1d1ca63d5c0ea71a758	Affirmative action is the main subject.
1	aa_opeds_sample/txt/418548792.xml.txt	3	Neutral, or not enough information	6553a1d1ca63d5c0ea71a758	Affirmative action is the main subject.
2	aa_opeds_sample/txt/215497350.xml.txt	3	Neutral, or not enough information	6553a1d1ca63d5c0ea71a758	Affirmative action is mentioned, but is not the main subject
1	test_question_testing_2	1	Strongly against	6553a1d1ca63d5c0ea71a758	Affirmative action is the main subject.
2	aa_opeds_sample/txt/1519805309.xml.txt	2	Somewhat against	6553a1d1ca63d5c0ea71a758	Affirmative action is mentioned, but is not the main subject
1	aa_opeds_sample/txt/1799136984.xml.txt	3	Neutral, or not enough information	6553a1d1ca63d5c0ea71a758	Affirmative action is the main subject.
1	aa_opeds_sample/txt/399053714.xml.txt	1	Strongly against	604e9ee68314bd949421ccd7	Affirmative action is the main subject.
2	aa_opeds_sample/txt/421424365.xml.txt	5	Strongly in favor	604e9ee68314bd949421ccd7	Affirmative action is mentioned, but is not the main subject
1	aa_opeds_sample/txt/1034256694.xml.txt	1	Strongly against	604e9ee68314bd949421ccd7	Affirmative action is the main subject.
2	aa_opeds_sample/txt/2244665351.xml.txt	5	Strongly in favor	604e9ee68314bd949421ccd7	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/418950637.xml.txt	1	Strongly against	604e9ee68314bd949421ccd7	Affirmative action is mentioned, but is not the main subject
1	aa_opeds_sample/txt/293295109.xml.txt	4	Somewhat in favor	604e9ee68314bd949421ccd7	Affirmative action is the main subject.
2	aa_opeds_sample/txt/432763623.xml.txt	4	Somewhat in favor	604e9ee68314bd949421ccd7	Affirmative action is mentioned, but is not the main subject
1	test_question_testing_2	1	Strongly against	604e9ee68314bd949421ccd7	Affirmative action is the main subject.
2	aa_opeds_sample/txt/408485014.xml.txt	2	Somewhat against	604e9ee68314bd949421ccd7	Affirmative action is mentioned, but is not the main subject
1	aa_opeds_sample/txt/430810646.xml.txt	3	Neutral, or not enough information	604e9ee68314bd949421ccd7	Affirmative action is the main subject.
2	aa_opeds_sample/txt/418395424.xml.txt	3	Neutral, or not enough information	604e9ee68314bd949421ccd7	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/409129544.xml.txt	3	Neutral, or not enough information	64514dd03f467fe3cf0cf364	Affirmative action is mentioned, but is not the main subject
1	aa_opeds_sample/txt/419493718.xml.txt	5	Strongly in favor	64514dd03f467fe3cf0cf364	Affirmative action is the main subject.
2	aa_opeds_sample/txt/399053714.xml.txt	2	Somewhat against	64514dd03f467fe3cf0cf364	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/409790149.xml.txt	3	Neutral, or not enough information	64514dd03f467fe3cf0cf364	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/2138443158.xml.txt	3	Neutral, or not enough information	64514dd03f467fe3cf0cf364	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/432374988.xml.txt	3	Neutral, or not enough information	64514dd03f467fe3cf0cf364	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/418468651.xml.txt	3	Neutral, or not enough information	64514dd03f467fe3cf0cf364	Affirmative action is mentioned, but is not the main subject
1	test_question_testing_2	1	Strongly against	64514dd03f467fe3cf0cf364	Affirmative action is the main subject.
2	aa_opeds_sample/txt/432471477.xml.txt	3	Neutral, or not enough information	64514dd03f467fe3cf0cf364	Affirmative action is mentioned, but is not the main subject
1	aa_opeds_sample/txt/307867242.xml.txt	4	Somewhat in favor	64514dd03f467fe3cf0cf364	Affirmative action is the main subject.
2	aa_opeds_sample/txt/427134596.xml.txt	4	Somewhat in favor	64514dd03f467fe3cf0cf364	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/422316037.xml.txt	3	Neutral, or not enough information	5dafe439670a30001634eaa0	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/432876223.xml.txt	3	Neutral, or not enough information	5dafe439670a30001634eaa0	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/398788879.xml.txt	2	Somewhat against	5dafe439670a30001634eaa0	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/408580425.xml.txt	5	Strongly in favor	5dafe439670a30001634eaa0	Affirmative action is mentioned, but is not the main subject
1	test_question_testing_1	1	Strongly against	5dafe439670a30001634eaa0	Affirmative action is the main subject.
1	aa_opeds_sample/txt/408345293.xml.txt	2	Somewhat against	5dafe439670a30001634eaa0	Affirmative action is the main subject.
2	aa_opeds_sample/txt/1774364135.xml.txt	4	Somewhat in favor	5dafe439670a30001634eaa0	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/423943644.xml.txt	1	Strongly against	5dafe439670a30001634eaa0	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/1023015447.xml.txt	3	Neutral, or not enough information	5dafe439670a30001634eaa0	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/1011079659.xml.txt	3	Neutral, or not enough information	5dafe439670a30001634eaa0	Affirmative action is mentioned, but is not the main subject
3	aa_opeds_sample/txt/420158599.xml.txt	3	Neutral, or not enough information	5dafe439670a30001634eaa0	Affirmative action is not mentioned.
2	aa_opeds_sample/txt/432267882.xml.txt	2	Somewhat against	63f3727c6e41f63c9b2a6f1f	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/421507153.xml.txt	2	Somewhat against	63f3727c6e41f63c9b2a6f1f	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/1099415355.xml.txt	4	Somewhat in favor	63f3727c6e41f63c9b2a6f1f	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/2833402706.xml.txt	4	Somewhat in favor	63f3727c6e41f63c9b2a6f1f	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/2445858352.xml.txt	5	Strongly in favor	63f3727c6e41f63c9b2a6f1f	Affirmative action is mentioned, but is not the main subject
