relevance_numeric	id	stance_numeric	stance_label	coder_id	relevance_label
1	aa_opeds_sample/txt/2065977608.xml.txt	4	Somewhat in favor	63f3727c6e41f63c9b2a6f1f	Affirmative action is the main subject.
1	test_question_testing_3	1	Strongly against	63f3727c6e41f63c9b2a6f1f	Affirmative action is the main subject.
1	aa_opeds_sample/txt/398538903.xml.txt	2	Somewhat against	63f3727c6e41f63c9b2a6f1f	Affirmative action is the main subject.
2	aa_opeds_sample/txt/421987509.xml.txt	4	Somewhat in favor	63f3727c6e41f63c9b2a6f1f	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/2633115690.xml.txt	4	Somewhat in favor	63f3727c6e41f63c9b2a6f1f	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/424224130.xml.txt	2	Somewhat against	63f3727c6e41f63c9b2a6f1f	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/399055159.xml.txt	1	Strongly against	654b95a706f1c94013df4899	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/2682983998.xml.txt	3	Neutral, or not enough information	654b95a706f1c94013df4899	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/421507153.xml.txt	3	Neutral, or not enough information	654b95a706f1c94013df4899	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/408523809.xml.txt	4	Somewhat in favor	654b95a706f1c94013df4899	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/2099964529.xml.txt	3	Neutral, or not enough information	654b95a706f1c94013df4899	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/430872205.xml.txt	5	Strongly in favor	654b95a706f1c94013df4899	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/1752156404.xml.txt	3	Neutral, or not enough information	654b95a706f1c94013df4899	Affirmative action is mentioned, but is not the main subject
1	aa_opeds_sample/txt/430957877.xml.txt	1	Strongly against	654b95a706f1c94013df4899	Affirmative action is the main subject.
2	aa_opeds_sample/txt/230632738.xml.txt	1	Strongly against	654b95a706f1c94013df4899	Affirmative action is mentioned, but is not the main subject
1	test_question_testing_3	1	Strongly against	654b95a706f1c94013df4899	Affirmative action is the main subject.
1	aa_opeds_sample/txt/424669038.xml.txt	5	Strongly in favor	654b95a706f1c94013df4899	Affirmative action is the main subject.
2	aa_opeds_sample/txt/419493718.xml.txt	4	Somewhat in favor	5bf56b6c8f12ac00018af6e2	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/420306539.xml.txt	3	Neutral, or not enough information	5bf56b6c8f12ac00018af6e2	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/398920534.xml.txt	3	Neutral, or not enough information	5bf56b6c8f12ac00018af6e2	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/1014285656.xml.txt	3	Neutral, or not enough information	5bf56b6c8f12ac00018af6e2	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/398321574.xml.txt	4	Somewhat in favor	5bf56b6c8f12ac00018af6e2	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/2233007997.xml.txt	3	Neutral, or not enough information	5bf56b6c8f12ac00018af6e2	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/2765919087.xml.txt	4	Somewhat in favor	5bf56b6c8f12ac00018af6e2	Affirmative action is mentioned, but is not the main subject
1	test_question_testing_3	1	Strongly against	5bf56b6c8f12ac00018af6e2	Affirmative action is the main subject.
1	aa_opeds_sample/txt/398538903.xml.txt	4	Somewhat in favor	5bf56b6c8f12ac00018af6e2	Affirmative action is the main subject.
2	aa_opeds_sample/txt/421214771.xml.txt	2	Somewhat against	5bf56b6c8f12ac00018af6e2	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/2193427873.xml.txt	3	Neutral, or not enough information	5bf56b6c8f12ac00018af6e2	Affirmative action is mentioned, but is not the main subject
1	aa_opeds_sample/txt/421333085.xml.txt	4	Somewhat in favor	652e82fcd5439e9978df3ee2	Affirmative action is the main subject.
2	aa_opeds_sample/txt/2444131672.xml.txt	5	Strongly in favor	652e82fcd5439e9978df3ee2	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/2244665351.xml.txt	5	Strongly in favor	652e82fcd5439e9978df3ee2	Affirmative action is mentioned, but is not the main subject
1	aa_opeds_sample/txt/1034256694.xml.txt	1	Strongly against	652e82fcd5439e9978df3ee2	Affirmative action is the main subject.
2	aa_opeds_sample/txt/2648708177.xml.txt	3	Neutral, or not enough information	652e82fcd5439e9978df3ee2	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/418950637.xml.txt	5	Strongly in favor	652e82fcd5439e9978df3ee2	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/428907164.xml.txt	5	Strongly in favor	652e82fcd5439e9978df3ee2	Affirmative action is mentioned, but is not the main subject
1	test_question_testing_3	1	Strongly against	652e82fcd5439e9978df3ee2	Affirmative action is the main subject.
2	aa_opeds_sample/txt/421303437.xml.txt	3	Neutral, or not enough information	652e82fcd5439e9978df3ee2	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/1823531226.xml.txt	3	Neutral, or not enough information	652e82fcd5439e9978df3ee2	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/2193427873.xml.txt	4	Somewhat in favor	652e82fcd5439e9978df3ee2	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/2419240626.xml.txt	2	Somewhat against	63fb7bd7941b345c37a9c54e	Affirmative action is mentioned, but is not the main subject
1	aa_opeds_sample/txt/408654746.xml.txt	2	Somewhat against	63fb7bd7941b345c37a9c54e	Affirmative action is the main subject.
1	aa_opeds_sample/txt/421333085.xml.txt	5	Strongly in favor	63fb7bd7941b345c37a9c54e	Affirmative action is the main subject.
1	aa_opeds_sample/txt/421647247.xml.txt	1	Strongly against	63fb7bd7941b345c37a9c54e	Affirmative action is the main subject.
2	aa_opeds_sample/txt/418768610.xml.txt	4	Somewhat in favor	63fb7bd7941b345c37a9c54e	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/420116341.xml.txt	3	Neutral, or not enough information	63fb7bd7941b345c37a9c54e	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/2432777796.xml.txt	3	Neutral, or not enough information	63fb7bd7941b345c37a9c54e	Affirmative action is mentioned, but is not the main subject
1	aa_opeds_sample/txt/418548792.xml.txt	2	Somewhat against	63fb7bd7941b345c37a9c54e	Affirmative action is the main subject.
1	test_question_testing_3	1	Strongly against	63fb7bd7941b345c37a9c54e	Affirmative action is the main subject.
2	aa_opeds_sample/txt/2469478152.xml.txt	4	Somewhat in favor	63fb7bd7941b345c37a9c54e	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/424224130.xml.txt	3	Neutral, or not enough information	63fb7bd7941b345c37a9c54e	Affirmative action is mentioned, but is not the main subject
1	aa_opeds_sample/txt/293087956.xml.txt	5	Strongly in favor	62b36713e7f1222fd112f23e	Affirmative action is the main subject.
2	aa_opeds_sample/txt/420906077.xml.txt	5	Strongly in favor	62b36713e7f1222fd112f23e	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/398630711.xml.txt	3	Neutral, or not enough information	62b36713e7f1222fd112f23e	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/429909301.xml.txt	1	Strongly against	62b36713e7f1222fd112f23e	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/409108213.xml.txt	3	Neutral, or not enough information	62b36713e7f1222fd112f23e	Affirmative action is mentioned, but is not the main subject
1	aa_opeds_sample/txt/2065977608.xml.txt	5	Strongly in favor	62b36713e7f1222fd112f23e	Affirmative action is the main subject.
2	aa_opeds_sample/txt/2778538694.xml.txt	2	Somewhat against	62b36713e7f1222fd112f23e	Affirmative action is mentioned, but is not the main subject
1	test_question_testing_2	1	Strongly against	62b36713e7f1222fd112f23e	Affirmative action is the main subject.
1	aa_opeds_sample/txt/421987509.xml.txt	2	Somewhat against	62b36713e7f1222fd112f23e	Affirmative action is the main subject.
2	aa_opeds_sample/txt/1750369183.xml.txt	3	Neutral, or not enough information	62b36713e7f1222fd112f23e	Affirmative action is mentioned, but is not the main subject
1	aa_opeds_sample/txt/398299761.xml.txt	2	Somewhat against	62b36713e7f1222fd112f23e	Affirmative action is the main subject.
2	aa_opeds_sample/txt/398730713.xml.txt	3	Neutral, or not enough information	5c796f4b4855980016a15557	Affirmative action is mentioned, but is not the main subject
3	aa_opeds_sample/txt/418768610.xml.txt	3	Neutral, or not enough information	5c796f4b4855980016a15557	Affirmative action is not mentioned.
2	aa_opeds_sample/txt/398530550.xml.txt	3	Neutral, or not enough information	5c796f4b4855980016a15557	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/409108213.xml.txt	3	Neutral, or not enough information	5c796f4b4855980016a15557	Affirmative action is mentioned, but is not the main subject
1	aa_opeds_sample/txt/408354994.xml.txt	3	Neutral, or not enough information	5c796f4b4855980016a15557	Affirmative action is the main subject.
2	aa_opeds_sample/txt/2778538694.xml.txt	1	Strongly against	5c796f4b4855980016a15557	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/431248074.xml.txt	3	Neutral, or not enough information	5c796f4b4855980016a15557	Affirmative action is mentioned, but is not the main subject
3	aa_opeds_sample/txt/2765919087.xml.txt	3	Neutral, or not enough information	5c796f4b4855980016a15557	Affirmative action is not mentioned.
1	test_question_testing_3	1	Strongly against	5c796f4b4855980016a15557	Affirmative action is the main subject.
3	aa_opeds_sample/txt/408485014.xml.txt	3	Neutral, or not enough information	5c796f4b4855980016a15557	Affirmative action is not mentioned.
2	aa_opeds_sample/txt/424669038.xml.txt	4	Somewhat in favor	5c796f4b4855980016a15557	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/420557855.xml.txt	4	Somewhat in favor	63d00077cc15749d84f2a41f	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/408654746.xml.txt	4	Somewhat in favor	63d00077cc15749d84f2a41f	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/432405735.xml.txt	3	Neutral, or not enough information	63d00077cc15749d84f2a41f	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/398630711.xml.txt	4	Somewhat in favor	63d00077cc15749d84f2a41f	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/2233007997.xml.txt	1	Strongly against	63d00077cc15749d84f2a41f	Affirmative action is mentioned, but is not the main subject
1	aa_opeds_sample/txt/2628908360.xml.txt	4	Somewhat in favor	63d00077cc15749d84f2a41f	Affirmative action is the main subject.
3	test_question_testing_1	3	Neutral, or not enough information	63d00077cc15749d84f2a41f	Affirmative action is not mentioned.
1	aa_opeds_sample/txt/2432777796.xml.txt	3	Neutral, or not enough information	63d00077cc15749d84f2a41f	Affirmative action is the main subject.
1	aa_opeds_sample/txt/418395424.xml.txt	3	Neutral, or not enough information	63d00077cc15749d84f2a41f	Affirmative action is the main subject.
2	aa_opeds_sample/txt/421214771.xml.txt	4	Somewhat in favor	63d00077cc15749d84f2a41f	Affirmative action is mentioned, but is not the main subject
1	aa_opeds_sample/txt/398469346.xml.txt	3	Neutral, or not enough information	63d00077cc15749d84f2a41f	Affirmative action is the main subject.
1	aa_opeds_sample/txt/409129544.xml.txt	5	Strongly in favor	650cbbfec37399108c60a734	Affirmative action is the main subject.
1	aa_opeds_sample/txt/2248215580.xml.txt	4	Somewhat in favor	650cbbfec37399108c60a734	Affirmative action is the main subject.
2	aa_opeds_sample/txt/418468651.xml.txt	3	Neutral, or not enough information	650cbbfec37399108c60a734	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/2452692303.xml.txt	3	Neutral, or not enough information	650cbbfec37399108c60a734	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/1099415355.xml.txt	3	Neutral, or not enough information	650cbbfec37399108c60a734	Affirmative action is mentioned, but is not the main subject
1	test_question_testing_1	1	Strongly against	650cbbfec37399108c60a734	Affirmative action is the main subject.
1	aa_opeds_sample/txt/432419685.xml.txt	5	Strongly in favor	650cbbfec37399108c60a734	Affirmative action is the main subject.
1	aa_opeds_sample/txt/398787032.xml.txt	4	Somewhat in favor	650cbbfec37399108c60a734	Affirmative action is the main subject.
2	aa_opeds_sample/txt/421525331.xml.txt	3	Neutral, or not enough information	650cbbfec37399108c60a734	Affirmative action is mentioned, but is not the main subject
3	aa_opeds_sample/txt/2216641847.xml.txt	3	Neutral, or not enough information	650cbbfec37399108c60a734	Affirmative action is not mentioned.
1	aa_opeds_sample/txt/2633115690.xml.txt	4	Somewhat in favor	650cbbfec37399108c60a734	Affirmative action is the main subject.
2	aa_opeds_sample/txt/1667204395.xml.txt	3	Neutral, or not enough information	5ca3ccae7958d0001689df68	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/2444131672.xml.txt	5	Strongly in favor	5ca3ccae7958d0001689df68	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/409790149.xml.txt	3	Neutral, or not enough information	5ca3ccae7958d0001689df68	Affirmative action is mentioned, but is not the main subject
3	aa_opeds_sample/txt/2138443158.xml.txt	3	Neutral, or not enough information	5ca3ccae7958d0001689df68	Affirmative action is not mentioned.
1	aa_opeds_sample/txt/432374988.xml.txt	5	Strongly in favor	5ca3ccae7958d0001689df68	Affirmative action is the main subject.
1	aa_opeds_sample/txt/398530550.xml.txt	1	Strongly against	5ca3ccae7958d0001689df68	Affirmative action is the main subject.
2	aa_opeds_sample/txt/408439658.xml.txt	3	Neutral, or not enough information	5ca3ccae7958d0001689df68	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/2445858352.xml.txt	3	Neutral, or not enough information	5ca3ccae7958d0001689df68	Affirmative action is mentioned, but is not the main subject
1	aa_opeds_sample/txt/408354994.xml.txt	3	Neutral, or not enough information	5ca3ccae7958d0001689df68	Affirmative action is the main subject.
1	test_question_testing_2	1	Strongly against	5ca3ccae7958d0001689df68	Affirmative action is the main subject.
2	aa_opeds_sample/txt/427134596.xml.txt	5	Strongly in favor	5ca3ccae7958d0001689df68	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/408523809.xml.txt	4	Somewhat in favor	609551c1ade88f8463666fb8	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/420906077.xml.txt	2	Somewhat against	609551c1ade88f8463666fb8	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/421647247.xml.txt	1	Strongly against	609551c1ade88f8463666fb8	Affirmative action is mentioned, but is not the main subject
3	aa_opeds_sample/txt/1652232593.xml.txt	3	Neutral, or not enough information	609551c1ade88f8463666fb8	Affirmative action is not mentioned.
2	aa_opeds_sample/txt/2099964529.xml.txt	3	Neutral, or not enough information	609551c1ade88f8463666fb8	Affirmative action is mentioned, but is not the main subject
1	test_question_testing_1			609551c1ade88f8463666fb8	Affirmative action is the main subject.
2	aa_opeds_sample/txt/2216641847.xml.txt	4	Somewhat in favor	609551c1ade88f8463666fb8	Affirmative action is mentioned, but is not the main subject
1	aa_opeds_sample/txt/2215402698.xml.txt	5	Strongly in favor	609551c1ade88f8463666fb8	Affirmative action is the main subject.
2	aa_opeds_sample/txt/293063140.xml.txt	3	Neutral, or not enough information	609551c1ade88f8463666fb8	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/2469478152.xml.txt	2	Somewhat against	609551c1ade88f8463666fb8	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/1750369183.xml.txt	5	Strongly in favor	609551c1ade88f8463666fb8	Affirmative action is mentioned, but is not the main subject
1	aa_opeds_sample/txt/418520188.xml.txt	4	Somewhat in favor	6543cf7e70d56539c9d742b5	Affirmative action is the main subject.
2	aa_opeds_sample/txt/420306539.xml.txt	3	Neutral, or not enough information	6543cf7e70d56539c9d742b5	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/2682983998.xml.txt	3	Neutral, or not enough information	6543cf7e70d56539c9d742b5	Affirmative action is mentioned, but is not the main subject
1	aa_opeds_sample/txt/1014285656.xml.txt	4	Somewhat in favor	6543cf7e70d56539c9d742b5	Affirmative action is the main subject.
2	aa_opeds_sample/txt/2248215580.xml.txt	2	Somewhat against	6543cf7e70d56539c9d742b5	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/2530287535.xml.txt	2	Somewhat against	6543cf7e70d56539c9d742b5	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/420116341.xml.txt	3	Neutral, or not enough information	6543cf7e70d56539c9d742b5	Affirmative action is mentioned, but is not the main subject
2	aa_opeds_sample/txt/1752156404.xml.txt	3	Neutral, or not enough information	6543cf7e70d56539c9d742b5	Affirmative action is mentioned, but is not the main subject
1	test_question_testing_1	1	Strongly against	6543cf7e70d56539c9d742b5	Affirmative action is the main subject.
1	aa_opeds_sample/txt/432419685.xml.txt	1	Strongly against	6543cf7e70d56539c9d742b5	Affirmative action is the main subject.
2	aa_opeds_sample/txt/398441227.xml.txt	3	Neutral, or not enough information	6543cf7e70d56539c9d742b5	Affirmative action is mentioned, but is not the main subject
