stance_label	coder_id	id	stance_numeric	relevance_label	relevance_numeric
Against/Opposes	6074391ef6527366aa827f42	aa_opeds_sample/txt/2509403436.xml.txt	stance:::Against/Opposes		
Neutral	6074391ef6527366aa827f42	aa_opeds_sample/txt/2730261179.xml.txt	stance:::Neutral		
Against/Opposes	6074391ef6527366aa827f42	aa_opeds_sample/txt/2053215813.xml.txt	stance:::Against/Opposes		
In Favor/Supports	6074391ef6527366aa827f42	aa_opeds_sample/txt/420033919.xml.txt	stance:::In Favor/Supports		
Neutral	6074391ef6527366aa827f42	aa_opeds_sample/txt/432876223.xml.txt	stance:::Neutral		
Neutral	6074391ef6527366aa827f42	aa_opeds_sample/txt/399070959.xml.txt	stance:::Neutral		
Against/Opposes	6074391ef6527366aa827f42	aa_opeds_sample/txt/2090998076.xml.txt	stance:::Against/Opposes		
Neutral	6074391ef6527366aa827f42	test_question_neutral_testing_1	stance:::Neutral		
Neutral	6074391ef6527366aa827f42	aa_opeds_sample/txt/2213159829.xml.txt	stance:::Neutral		
Neutral	6074391ef6527366aa827f42	aa_opeds_sample/txt/422176235.xml.txt	stance:::Neutral		
None/Not Discussed	6287748198aa98c765deff27	aa_opeds_sample/txt/409936292.xml.txt	stance:::None/Not Discussed		
In Favor/Supports	6287748198aa98c765deff27	aa_opeds_sample/txt/421609713.xml.txt	stance:::In Favor/Supports		
In Favor/Supports	6287748198aa98c765deff27	aa_opeds_sample/txt/2454579785.xml.txt	stance:::In Favor/Supports		
Neutral	6287748198aa98c765deff27	aa_opeds_sample/txt/432991807.xml.txt	stance:::Neutral		
None/Not Discussed	6287748198aa98c765deff27	aa_opeds_sample/txt/409060590.xml.txt	stance:::None/Not Discussed		
Against/Opposes	6287748198aa98c765deff27	test_question_against_testing_1	stance:::Against/Opposes		
None/Not Discussed	6287748198aa98c765deff27	aa_opeds_sample/txt/1919844871.xml.txt	stance:::None/Not Discussed		
None/Not Discussed	6287748198aa98c765deff27	aa_opeds_sample/txt/421152514.xml.txt	stance:::None/Not Discussed		
In Favor/Supports	6287748198aa98c765deff27	aa_opeds_sample/txt/418249271.xml.txt	stance:::In Favor/Supports		
In Favor/Supports	6287748198aa98c765deff27	aa_opeds_sample/txt/2832643195.xml.txt	stance:::In Favor/Supports		
Neutral	63ed99d5c3520191a0a7280e	aa_opeds_sample/txt/2053215813.xml.txt	stance:::Neutral		
In Favor/Supports	63ed99d5c3520191a0a7280e	test_question_pro_testing_1	stance:::In Favor/Supports		
None/Not Discussed	63ed99d5c3520191a0a7280e	aa_opeds_sample/txt/409060590.xml.txt	stance:::None/Not Discussed		
None/Not Discussed	63ed99d5c3520191a0a7280e	aa_opeds_sample/txt/398482848.xml.txt	stance:::None/Not Discussed		
In Favor/Supports	63ed99d5c3520191a0a7280e	aa_opeds_sample/txt/421609713.xml.txt	stance:::In Favor/Supports		
None/Not Discussed	63ed99d5c3520191a0a7280e	aa_opeds_sample/txt/2213159829.xml.txt	stance:::None/Not Discussed		
In Favor/Supports	63ed99d5c3520191a0a7280e	aa_opeds_sample/txt/2832643195.xml.txt	stance:::In Favor/Supports		
In Favor/Supports	63ed99d5c3520191a0a7280e	aa_opeds_sample/txt/432415722.xml.txt	stance:::In Favor/Supports		
Against/Opposes	63ed99d5c3520191a0a7280e	aa_opeds_sample/txt/398288078.xml.txt	stance:::Against/Opposes		
Neutral	63ed99d5c3520191a0a7280e	aa_opeds_sample/txt/1548604795.xml.txt	stance:::Neutral		
Neutral	5d89c4dd68f9d60001a21500	aa_opeds_sample/txt/1372854272.xml.txt	stance:::Neutral		
Neutral	5d89c4dd68f9d60001a21500	aa_opeds_sample/txt/420294538.xml.txt	stance:::Neutral		
Neutral	5d89c4dd68f9d60001a21500	aa_opeds_sample/txt/424505995.xml.txt	stance:::Neutral		
Neutral	5d89c4dd68f9d60001a21500	aa_opeds_sample/txt/410325615.xml.txt	stance:::Neutral		
Neutral	5d89c4dd68f9d60001a21500	aa_opeds_sample/txt/421978637.xml.txt	stance:::Neutral		
Neutral	5d89c4dd68f9d60001a21500	aa_opeds_sample/txt/398881739.xml.txt	stance:::Neutral		
Neutral	5d89c4dd68f9d60001a21500	aa_opeds_sample/txt/419426239.xml.txt	stance:::Neutral		
Neutral	5d89c4dd68f9d60001a21500	test_question_neutral_testing_1	stance:::Neutral		
In Favor/Supports	5d89c4dd68f9d60001a21500	aa_opeds_sample/txt/1761271674.xml.txt	stance:::In Favor/Supports		
Neutral	5d89c4dd68f9d60001a21500	aa_opeds_sample/txt/2230209410.xml.txt	stance:::Neutral		
In Favor/Supports	5fdb6ef5b34a6f6b2634b566	aa_opeds_sample/txt/432317583.xml.txt	stance:::In Favor/Supports		
In Favor/Supports	5fdb6ef5b34a6f6b2634b566	aa_opeds_sample/txt/2236765173.xml.txt	stance:::In Favor/Supports		
Neutral	5fdb6ef5b34a6f6b2634b566	aa_opeds_sample/txt/2761519572.xml.txt	stance:::Neutral		
In Favor/Supports	5fdb6ef5b34a6f6b2634b566	aa_opeds_sample/txt/2212953270.xml.txt	stance:::In Favor/Supports		
In Favor/Supports	5fdb6ef5b34a6f6b2634b566	test_question_against_testing_2	stance:::In Favor/Supports		
In Favor/Supports	5fdb6ef5b34a6f6b2634b566	aa_opeds_sample/txt/421552708.xml.txt	stance:::In Favor/Supports		
Neutral	5fdb6ef5b34a6f6b2634b566	aa_opeds_sample/txt/2730261179.xml.txt	stance:::Neutral		
Against/Opposes	5fdb6ef5b34a6f6b2634b566	aa_opeds_sample/txt/420294538.xml.txt	stance:::Against/Opposes		
In Favor/Supports	5fdb6ef5b34a6f6b2634b566	aa_opeds_sample/txt/421591042.xml.txt	stance:::In Favor/Supports		
None/Not Discussed	5fdb6ef5b34a6f6b2634b566	aa_opeds_sample/txt/419989695.xml.txt	stance:::None/Not Discussed		
None/Not Discussed	6574bd9b9b3c601d1c28500f	aa_opeds_sample/txt/752088707.xml.txt	stance:::None/Not Discussed		
In Favor/Supports	6574bd9b9b3c601d1c28500f	aa_opeds_sample/txt/434126284.xml.txt	stance:::In Favor/Supports		
None/Not Discussed	6574bd9b9b3c601d1c28500f	aa_opeds_sample/txt/2424705741.xml.txt	stance:::None/Not Discussed		
In Favor/Supports	6574bd9b9b3c601d1c28500f	aa_opeds_sample/txt/2837300226.xml.txt	stance:::In Favor/Supports		
None/Not Discussed	6574bd9b9b3c601d1c28500f	aa_opeds_sample/txt/1878508466.xml.txt	stance:::None/Not Discussed		
Against/Opposes	6574bd9b9b3c601d1c28500f	aa_opeds_sample/txt/398288078.xml.txt	stance:::Against/Opposes		
Against/Opposes	6574bd9b9b3c601d1c28500f	aa_opeds_sample/txt/2238130344.xml.txt	stance:::Against/Opposes		
Neutral	6574bd9b9b3c601d1c28500f	aa_opeds_sample/txt/432415722.xml.txt	stance:::Neutral		
None/Not Discussed	6574bd9b9b3c601d1c28500f	aa_opeds_sample/txt/408321836.xml.txt	stance:::None/Not Discussed		
Neutral	6574bd9b9b3c601d1c28500f	test_question_neutral_testing_1	stance:::Neutral		
Neutral	5c037f464c14cf00019d379f	aa_opeds_sample/txt/420549304.xml.txt	stance:::Neutral		
Neutral	5c037f464c14cf00019d379f	aa_opeds_sample/txt/759996654.xml.txt	stance:::Neutral		
None/Not Discussed	5c037f464c14cf00019d379f	aa_opeds_sample/txt/2234177127.xml.txt	stance:::None/Not Discussed		
None/Not Discussed	5c037f464c14cf00019d379f	aa_opeds_sample/txt/427163446.xml.txt	stance:::None/Not Discussed		
In Favor/Supports	5c037f464c14cf00019d379f	aa_opeds_sample/txt/2414754878.xml.txt	stance:::In Favor/Supports		
Neutral	5c037f464c14cf00019d379f	test_question_against_testing_1	stance:::Neutral		
In Favor/Supports	5c037f464c14cf00019d379f	aa_opeds_sample/txt/433917131.xml.txt	stance:::In Favor/Supports		
None/Not Discussed	5c037f464c14cf00019d379f	aa_opeds_sample/txt/408366163.xml.txt	stance:::None/Not Discussed		
In Favor/Supports	5c037f464c14cf00019d379f	aa_opeds_sample/txt/421591042.xml.txt	stance:::In Favor/Supports		
In Favor/Supports	5c037f464c14cf00019d379f	aa_opeds_sample/txt/431879654.xml.txt	stance:::In Favor/Supports		
Against/Opposes	659c08d2e6e913c0e383da68	aa_opeds_sample/txt/2509403436.xml.txt	stance:::Against/Opposes		
In Favor/Supports	659c08d2e6e913c0e383da68	aa_opeds_sample/txt/2237777942.xml.txt	stance:::In Favor/Supports		
Neutral	659c08d2e6e913c0e383da68	aa_opeds_sample/txt/2730261179.xml.txt	stance:::Neutral		
In Favor/Supports	659c08d2e6e913c0e383da68	test_question_pro_testing_1	stance:::In Favor/Supports		
None/Not Discussed	659c08d2e6e913c0e383da68	aa_opeds_sample/txt/421978637.xml.txt	stance:::None/Not Discussed		
None/Not Discussed	659c08d2e6e913c0e383da68	aa_opeds_sample/txt/427163446.xml.txt	stance:::None/Not Discussed		
Neutral	659c08d2e6e913c0e383da68	aa_opeds_sample/txt/420558694.xml.txt	stance:::Neutral		
Against/Opposes	659c08d2e6e913c0e383da68	aa_opeds_sample/txt/1774364135.xml.txt	stance:::Against/Opposes		
In Favor/Supports	659c08d2e6e913c0e383da68	aa_opeds_sample/txt/2761519572.xml.txt	stance:::In Favor/Supports		
Neutral	659c08d2e6e913c0e383da68	aa_opeds_sample/txt/2635873593.xml.txt	stance:::Neutral		
Against/Opposes	60ff0fc89dd6346ad1246ef7	aa_opeds_sample/txt/398612922.xml.txt	stance:::Against/Opposes		
Against/Opposes	60ff0fc89dd6346ad1246ef7	aa_opeds_sample/txt/399070959.xml.txt	stance:::Against/Opposes		
Neutral	60ff0fc89dd6346ad1246ef7	aa_opeds_sample/txt/408345293.xml.txt	stance:::Neutral		
None/Not Discussed	60ff0fc89dd6346ad1246ef7	aa_opeds_sample/txt/422316037.xml.txt	stance:::None/Not Discussed		
In Favor/Supports	60ff0fc89dd6346ad1246ef7	aa_opeds_sample/txt/1761271674.xml.txt	stance:::In Favor/Supports		
None/Not Discussed	60ff0fc89dd6346ad1246ef7	aa_opeds_sample/txt/398788879.xml.txt	stance:::None/Not Discussed		
Neutral	60ff0fc89dd6346ad1246ef7	aa_opeds_sample/txt/2832643195.xml.txt	stance:::Neutral		
Neutral	60ff0fc89dd6346ad1246ef7	aa_opeds_sample/txt/1878508466.xml.txt	stance:::Neutral		
Neutral	60ff0fc89dd6346ad1246ef7	aa_opeds_sample/txt/430675992.xml.txt	stance:::Neutral		
None/Not Discussed	60ff0fc89dd6346ad1246ef7	test_question_neutral_testing_1	stance:::None/Not Discussed		
In Favor/Supports	6478e9af7d038af16d294843	aa_opeds_sample/txt/420549304.xml.txt	stance:::In Favor/Supports		
Neutral	6478e9af7d038af16d294843	aa_opeds_sample/txt/1372854272.xml.txt	stance:::Neutral		
None/Not Discussed	6478e9af7d038af16d294843	aa_opeds_sample/txt/1023015447.xml.txt	stance:::None/Not Discussed		
In Favor/Supports	6478e9af7d038af16d294843	aa_opeds_sample/txt/1370789528.xml.txt	stance:::In Favor/Supports		
Neutral	6478e9af7d038af16d294843	aa_opeds_sample/txt/2582284660.xml.txt	stance:::Neutral		
In Favor/Supports	6478e9af7d038af16d294843	aa_opeds_sample/txt/1011079659.xml.txt	stance:::In Favor/Supports		
None/Not Discussed	6478e9af7d038af16d294843	test_question_against_testing_1	stance:::None/Not Discussed		
Neutral	6478e9af7d038af16d294843	aa_opeds_sample/txt/421118533.xml.txt	stance:::Neutral		
None/Not Discussed	6478e9af7d038af16d294843	aa_opeds_sample/txt/2230209410.xml.txt	stance:::None/Not Discussed		
Against/Opposes	6478e9af7d038af16d294843	aa_opeds_sample/txt/2154417607.xml.txt	stance:::Against/Opposes		
In Favor/Supports	595bee9282be5500017ad683	aa_opeds_sample/txt/2832640273.xml.txt	stance:::In Favor/Supports		
Neutral	595bee9282be5500017ad683	aa_opeds_sample/txt/2582284660.xml.txt	stance:::Neutral		
Neutral	595bee9282be5500017ad683	aa_opeds_sample/txt/418239486.xml.txt	stance:::Neutral		
Neutral	595bee9282be5500017ad683	aa_opeds_sample/txt/2100741387.xml.txt	stance:::Neutral		
In Favor/Supports	595bee9282be5500017ad683	aa_opeds_sample/txt/398955309.xml.txt	stance:::In Favor/Supports		
Against/Opposes	595bee9282be5500017ad683	test_question_against_testing_1	stance:::Against/Opposes		
Neutral	595bee9282be5500017ad683	aa_opeds_sample/txt/1372854272.xml.txt	stance:::Neutral		
In Favor/Supports	595bee9282be5500017ad683	aa_opeds_sample/txt/2565796466.xml.txt	stance:::In Favor/Supports		
Neutral	595bee9282be5500017ad683	aa_opeds_sample/txt/1951409635.xml.txt	stance:::Neutral		
In Favor/Supports	595bee9282be5500017ad683	aa_opeds_sample/txt/420549304.xml.txt	stance:::In Favor/Supports		
In Favor/Supports	650b1963cf394af06984d0b9	aa_opeds_sample/txt/2236625026.xml.txt	stance:::In Favor/Supports		
Neutral	650b1963cf394af06984d0b9	aa_opeds_sample/txt/421508307.xml.txt	stance:::Neutral		
In Favor/Supports	650b1963cf394af06984d0b9	test_question_pro_testing_1	stance:::In Favor/Supports		
Neutral	650b1963cf394af06984d0b9	aa_opeds_sample/txt/431493919.xml.txt	stance:::Neutral		
Against/Opposes	650b1963cf394af06984d0b9	aa_opeds_sample/txt/419426239.xml.txt	stance:::Against/Opposes		
In Favor/Supports	650b1963cf394af06984d0b9	aa_opeds_sample/txt/421600586.xml.txt	stance:::In Favor/Supports		
Neutral	650b1963cf394af06984d0b9	aa_opeds_sample/txt/419989695.xml.txt	stance:::Neutral		
In Favor/Supports	650b1963cf394af06984d0b9	aa_opeds_sample/txt/1987023512.xml.txt	stance:::In Favor/Supports		
Neutral	650b1963cf394af06984d0b9	aa_opeds_sample/txt/408321836.xml.txt	stance:::Neutral		
Neutral	650b1963cf394af06984d0b9	aa_opeds_sample/txt/431879654.xml.txt	stance:::Neutral		
Against/Opposes	62926b2bba027005e0a84475	aa_opeds_sample/txt/408345293.xml.txt	stance:::Against/Opposes		
In Favor/Supports	62926b2bba027005e0a84475	aa_opeds_sample/txt/2237777942.xml.txt	stance:::In Favor/Supports		
Neutral	62926b2bba027005e0a84475	aa_opeds_sample/txt/2212953270.xml.txt	stance:::Neutral		
Against/Opposes	62926b2bba027005e0a84475	aa_opeds_sample/txt/2582284660.xml.txt	stance:::Against/Opposes		
Neutral	62926b2bba027005e0a84475	aa_opeds_sample/txt/398955309.xml.txt	stance:::Neutral		
In Favor/Supports	62926b2bba027005e0a84475	aa_opeds_sample/txt/1987023512.xml.txt	stance:::In Favor/Supports		
Neutral	62926b2bba027005e0a84475	aa_opeds_sample/txt/900173941.xml.txt	stance:::Neutral		
Neutral	62926b2bba027005e0a84475	aa_opeds_sample/txt/1716194235.xml.txt	stance:::Neutral		
Neutral	62926b2bba027005e0a84475	aa_opeds_sample/txt/2065768718.xml.txt	stance:::Neutral		
Neutral	62926b2bba027005e0a84475	test_question_against_testing_3	stance:::Neutral		
Neutral	656386041faf6ea76e9ad688	aa_opeds_sample/txt/1023015447.xml.txt	stance:::Neutral		
Neutral	656386041faf6ea76e9ad688	aa_opeds_sample/txt/398612922.xml.txt	stance:::Neutral		
Neutral	656386041faf6ea76e9ad688	aa_opeds_sample/txt/432317583.xml.txt	stance:::Neutral		
Neutral	656386041faf6ea76e9ad688	aa_opeds_sample/txt/1548604795.xml.txt	stance:::Neutral		
In Favor/Supports	656386041faf6ea76e9ad688	aa_opeds_sample/txt/420558694.xml.txt	stance:::In Favor/Supports		
Neutral	656386041faf6ea76e9ad688	aa_opeds_sample/txt/408649107.xml.txt	stance:::Neutral		
Neutral	656386041faf6ea76e9ad688	aa_opeds_sample/txt/2100741387.xml.txt	stance:::Neutral		
Against/Opposes	656386041faf6ea76e9ad688	aa_opeds_sample/txt/307918907.xml.txt	stance:::Against/Opposes		
Against/Opposes	656386041faf6ea76e9ad688	aa_opeds_sample/txt/2154417607.xml.txt	stance:::Against/Opposes		
In Favor/Supports	656386041faf6ea76e9ad688	test_question_pro_testing_2	stance:::In Favor/Supports		
Against/Opposes	65a19f3684065b3606fbaa13	aa_opeds_sample/txt/408366163.xml.txt	stance:::Against/Opposes		
Neutral	65a19f3684065b3606fbaa13	aa_opeds_sample/txt/409707034.xml.txt	stance:::Neutral		
In Favor/Supports	65a19f3684065b3606fbaa13	aa_opeds_sample/txt/398881739.xml.txt	stance:::In Favor/Supports		
None/Not Discussed	65a19f3684065b3606fbaa13	aa_opeds_sample/txt/419118450.xml.txt	stance:::None/Not Discussed		
None/Not Discussed	65a19f3684065b3606fbaa13	test_question_against_testing_1	stance:::None/Not Discussed		
Neutral	65a19f3684065b3606fbaa13	aa_opeds_sample/txt/409076441.xml.txt	stance:::Neutral		
Neutral	65a19f3684065b3606fbaa13	aa_opeds_sample/txt/418468478.xml.txt	stance:::Neutral		
Neutral	65a19f3684065b3606fbaa13	aa_opeds_sample/txt/2424705741.xml.txt	stance:::Neutral		
Against/Opposes	65a19f3684065b3606fbaa13	aa_opeds_sample/txt/409718670.xml.txt	stance:::Against/Opposes		
In Favor/Supports	65a19f3684065b3606fbaa13	aa_opeds_sample/txt/1548604795.xml.txt	stance:::In Favor/Supports		
Neutral	652ee4c19af20c91c9d88a65	test_question_against_testing_3	stance:::Neutral		
Neutral	652ee4c19af20c91c9d88a65	aa_opeds_sample/txt/408366163.xml.txt	stance:::Neutral		
Neutral	652ee4c19af20c91c9d88a65	aa_opeds_sample/txt/1919844871.xml.txt	stance:::Neutral		
In Favor/Supports	652ee4c19af20c91c9d88a65	aa_opeds_sample/txt/1370789528.xml.txt	stance:::In Favor/Supports		
None/Not Discussed	652ee4c19af20c91c9d88a65	aa_opeds_sample/txt/2065768718.xml.txt	stance:::None/Not Discussed		
